query_id,program_id,in_production,production_rank,in_final,final_rank,in_keyword,keyword_rank,keyword_score,in_broad,broad_rank,broad_score,broad_matched_groups,in_expected
Q01,BIZINFO:PBLN_000000000118556,true,14,true,3,true,10,4,false,,,,false
Q01,BIZINFO:PBLN_000000000119038,false,,false,,true,7,4,false,,,,false
Q01,BIZINFO:PBLN_000000000120474,true,7,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000121288,true,4,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000121478,false,,false,,false,,,true,3,11,G1:AI | G2:콘텐츠 제작 | G3:지원,false
Q01,BIZINFO:PBLN_000000000121480,true,3,true,5,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000121635,true,20,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000121799,true,5,true,4,true,8,4,false,,,,false
Q01,BIZINFO:PBLN_000000000122551,true,15,false,,false,,,true,4,9,G1:AI | G2:홍보물 | G3:비용,false
Q01,BIZINFO:PBLN_000000000122863,false,,false,,true,3,5,true,8,9,G1:AI | G2:홍보 콘텐츠 | G3:지원,false
Q01,BIZINFO:PBLN_000000000122948,false,,false,,false,,,true,15,9,G2:홍보물 | G3:지원,false
Q01,BIZINFO:PBLN_000000000123108,false,,false,,false,,,true,13,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000123203,true,18,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000123596,false,,false,,false,,,true,10,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000123926,false,,false,,false,,,true,11,9,G2:콘텐츠 제작 | G3:지원,false
Q01,BIZINFO:PBLN_000000000124402,true,12,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000125166,true,11,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000125339,false,,false,,false,,,true,14,9,G1:AI | G3:지원,false
Q01,BIZINFO:PBLN_000000000125340,true,9,false,,true,5,4,false,,,,false
Q01,BIZINFO:PBLN_000000000125493,false,,false,,false,,,true,6,9,G2:홍보물 | G3:비용,false
Q01,BIZINFO:PBLN_000000000125511,false,,false,,false,,,true,2,11,G2:홍보물 | G3:지원,false
Q01,BIZINFO:PBLN_000000000125560,true,1,true,1,true,1,9,true,1,13,G1:AI | G2:홍보 컨텐츠 | G3:지원,true
Q01,BIZINFO:PBLN_000000000125603,true,10,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000125718,false,,false,,true,4,5,false,,,,false
Q01,BIZINFO:PBLN_000000000125850,true,17,false,,false,,,true,9,9,G1:AI | G3:지원,false
Q01,BIZINFO:PBLN_000000000125877,true,19,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000125890,false,,false,,false,,,true,5,9,G2:콘텐츠 제작 | G3:비용,false
Q01,BIZINFO:PBLN_000000000125920,true,8,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000125962,false,,false,,false,,,true,7,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000126003,false,,false,,true,2,7,true,12,9,G2:홍보 콘텐츠 | G3:지원,false
Q01,BIZINFO:PBLN_000000000126036,true,13,false,,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000126060,true,2,true,2,false,,,false,,,,false
Q01,BIZINFO:PBLN_000000000126116,false,,false,,true,6,4,false,,,,false
Q01,BIZINFO:PBLN_000000000126161,true,6,false,,true,9,4,false,,,,false
Q01,BIZINFO:PBLN_000000000126164,true,16,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000117668,false,,false,,true,8,3,false,,,,false
Q02,BIZINFO:PBLN_000000000117728,true,17,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000118006,true,20,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000118467,true,14,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000118750,true,19,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000119457,true,7,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000119953,true,4,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000120484,true,6,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000120527,false,,false,,true,3,3,false,,,,false
Q02,BIZINFO:PBLN_000000000120673,true,15,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000120871,false,,false,,false,,,true,3,11,G2:AX | G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000121892,true,13,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000122227,true,8,true,2,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000122333,false,,false,,true,6,3,false,,,,false
Q02,BIZINFO:PBLN_000000000123291,false,,false,,false,,,true,7,9,G2:AX | G3:실증,false
Q02,BIZINFO:PBLN_000000000123466,true,10,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000124360,true,16,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000124835,true,18,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125339,true,3,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125493,true,2,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125575,false,,false,,true,1,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125679,true,12,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125704,true,1,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125775,false,,false,,false,,,true,4,9,G2:AX | G3:실증,false
Q02,BIZINFO:PBLN_000000000125816,true,5,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125849,true,9,false,,false,,,false,,,,false
Q02,BIZINFO:PBLN_000000000125858,false,,false,,false,,,true,2,11,G1:고령친화 | G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000125889,false,,false,,true,4,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125904,false,,false,,false,,,true,8,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000125910,false,,false,,true,2,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125928,false,,false,,false,,,true,5,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000126000,false,,false,,true,7,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126007,false,,false,,true,9,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126026,false,,false,,true,5,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126050,false,,false,,false,,,true,9,9,G3:실증 | G4:사업화,false
